CONSTITUENT_ID	AGE	GENDER	MARRIED	STATE	COUNT(F.FAMILY_ID)	COUNT(E.EVENT_ATTENDEE_ID)	COUNT(V.VOLUNTEER_ID)	sum(T.AMOUNT)
2502	67	Female	1	Illinois	0	160	160	11440
2517	62	Female	0	Illinois	0	0	0	390
2700	53	Male	0	Illinois	0	60	60	2000
13766	27	Female	0	Illinois	0	0	0	NULL
14199	24	Female	0	California	0	0	0	NULL
14291	24	Female	0	Illinois	0	0	0	NULL
15591	73	Female	0	Illinois	0	22	0	780
15869	74	Male	1	Wisconsin	0	0	0	70
15967	55	Female	0	Illinois	0	9	0	90
16125	68	Male	1	Illinois	10	0	0	250
22792	25	Female	0	Illinois	0	0	0	25
26930	25	Female	0	Illinois	0	1	0	1
102461	29	Female	0	Illinois	0	0	0	NULL
102533	45	Female	0	Illinois	0	0	0	60
102535	30	Female	0	Kentucky	0	0	0	NULL
103593	30	Female	0	Illinois	0	0	0	NULL
103595	29	Female	0	Illinois	0	0	0	NULL
103596	36	Female	0	Illinois	0	0	0	NULL
103604	36	Male	0	Illinois	0	0	0	NULL
103606	30	Female	0	Illinois	0	0	0	NULL
103723	44	Female	0	Illinois	0	0	0	NULL
103724	30	Female	0	Illinois	0	0	0	NULL
103750	29	Female	0	Illinois	0	0	0	NULL
103751	44	Male	0	Illinois	0	0	0	NULL
103752	31	Female	0	Missouri	0	0	0	NULL
103758	37	Female	0	Missouri	0	0	0	NULL
105156	40	Female	1	New Mexico	0	0	0	NULL
105220	51	Female	0	Illinois	0	0	1	NULL
105347	41	Female	0	Illinois	0	0	1	NULL
105360	57	Female	0	Illinois	0	144	0	164700
107564	78	Female	1	California	0	18	18	33177
107669	43	Female	0	Pennsylvania	0	0	0	NULL
107692	41	Female	1	Illinois	0	0	0	NULL
107719	40	Female	1	Illinois	0	0	0	NULL
108611	35	Female	0	Illinois	0	1	0	NULL
108615	33	Female	0	Illinois	0	1	0	NULL
108621	30	Female	1	Illinois	0	0	0	NULL
108646	30	Female	0	Illinois	0	3	0	NULL
108681	29	Female	0	Illinois	0	0	0	NULL
108700	33	Female	0	Illinois	0	0	104	900
108721	30	Female	0	Illinois	0	0	0	NULL
108730	32	Female	0	Illinois	0	0	1	NULL
108777	30	Female	0	Illinois	0	0	0	NULL
109795	41	Female	0	Illinois	0	0	0	NULL
109885	46	Male	0	Illinois	0	0	1	NULL
110127	82	Female	1	California	0	0	0	25
110157	83	Female	1	Illinois	0	0	0	110
110161	64	Female	1	Illinois	0	0	6	110
110238	55	Female	1	Kentucky	0	0	0	25
110285	69	Female	1	Illinois	0	7	0	750
111307	29	Female	0	Michigan	0	0	0	NULL
111309	29	Female	0	Illinois	0	0	0	NULL
111458	60	Female	0	Illinois	0	0	0	NULL
111834	45	Female	0	No State	0	0	0	NULL
111928	74	Female	1	Illinois	0	34	0	1750
111929	75	Male	1	Maryland	0	0	0	125
112415	50	Male	1	Florida	0	1	0	25
113208	32	Female	0	Illinois	0	1	0	NULL
113272	34	Female	0	Indiana	0	0	0	NULL
113290	31	Female	0	Wisconsin	0	0	0	NULL
113719	63	Female	1	New Jersey	0	14	0	1450
113735	74	Female	1	California	0	2	0	25
119684	34	Female	0	Oregon	0	0	0	NULL
120676	50	Female	1	Kentucky	0	0	0	125
120699	68	Male	0	Texas	0	1	0	25
120901	79	Female	0	Illinois	0	114	0	2850
120970	66	Male	1	Arkansas	0	0	0	25
120998	50	Male	1	Washington	0	0	0	75
121013	68	Male	0	California	0	0	0	725
121320	62	Female	1	Illinois	0	0	0	25
121431	86	Male	1	Florida	0	0	0	150
126386	32	Female	0	Illinois	0	0	0	NULL
126464	31	Male	0	Illinois	0	0	0	NULL
126739	31	Female	0	Illinois	0	0	1	NULL
129680	77	Female	1	Virginia	0	0	0	315
129770	73	Female	1	Michigan	0	0	0	NULL
129778	71	Male	0	New York	0	0	0	270
129874	74	Female	1	Illinois	0	0	1	NULL
130038	62	Female	0	Indiana	0	0	0	NULL
130054	65	Female	1	Pennsylvania	0	0	0	1050
130084	83	Female	0	Illinois	0	0	0	100
131416	77	Female	0	Indiana	0	0	0	NULL
131602	64	Female	1	South Carolina	0	0	0	45
131632	74	Female	1	Wisconsin	0	0	0	25
136659	74	Male	1	Texas	0	0	0	400
136678	77	Female	1	Florida	0	4	0	85
136713	47	Female	0	Illinois	0	0	0	NULL
136722	93	Female	1	Illinois	0	0	0	290
137859	58	Female	1	Indiana	0	0	0	150
137875	72	Female	1	Illinois	0	0	0	100
137943	67	Male	1	Arizona	0	465	0	133075
137954	58	Female	1	Indiana	0	0	0	575
138093	67	Male	1	Indiana	0	0	0	285
138112	57	Female	0	California	0	0	0	25
138206	47	Female	0	Georgia	0	0	0	25
138272	67	Male	1	Florida	0	130	0	16500
138294	60	Female	1	Ohio	0	0	0	25
138538	45	Male	0	Illinois	0	0	0	NULL
138560	68	Female	0	Pennsylvania	0	0	0	150
147588	68	Female	1	District of Columbia	0	2	0	50
147593	53	Male	0	Illinois	0	0	0	250
147605	57	Female	1	Indiana	0	0	0	50
147633	55	Female	0	Illinois	0	0	0	75
147680	58	Female	1	Iowa	0	0	8	160
147690	62	Female	0	Illinois	0	6	0	200
147703	85	Female	1	California	112	112	0	4820
147738	61	Female	0	Illinois	0	225	0	12525
147817	62	Male	1	Illinois	0	33	0	2025
147857	84	Male	0	Illinois	0	0	0	10
147865	56	Female	0	Illinois	0	0	1	25
147932	46	Female	1	North Carolina	0	0	0	325
147946	72	Female	1	Illinois	15	15	0	1250
147959	64	Male	1	Virginia	0	0	0	75
147968	74	Female	0	Illinois	0	0	0	100
147984	68	Male	1	South Carolina	0	0	0	50
149164	70	Male	1	Indiana	0	0	0	350
149251	46	Female	0	Texas	0	0	0	25
149319	69	Male	0	District of Columbia	0	7	0	745
149422	75	Male	1	No State	0	0	0	25
149472	60	Male	0	Illinois	0	27	0	2535
149597	58	Female	0	Connecticut	0	0	0	100
153552	52	Female	0	Illinois	0	3	0	100
153586	46	Female	1	Illinois	0	0	4	150
153646	62	Female	1	Illinois	0	0	0	75
153713	72	Female	1	Florida	0	0	0	30
153911	71	Female	1	Illinois	0	0	10	850
